,size,height,avg_insert,avg_find,time
403,40400.0,38.0,19.144331683168318,19.144331683168318,0.604001522064209
404,40500.0,35.0,19.182,19.182,0.5299994945526123
405,40600.0,40.0,20.147610837438425,20.147610837438425,0.5350000858306885
406,40700.0,33.0,19.04034398034398,19.04034398034398,0.6119990348815918
407,40800.0,35.0,19.044901960784312,19.044901960784312,0.5339999198913574
408,40900.0,35.0,19.628948655256725,19.628948655256725,0.5489964485168457
409,41000.0,35.0,18.967170731707316,18.967170731707316,0.5139994621276855
410,41100.0,39.0,19.181703163017033,19.181703163017033,0.5189979076385498
411,41200.0,34.0,19.0348786407767,19.0348786407767,0.6089992523193359
412,41300.0,35.0,18.14409200968523,18.14409200968523,0.5220000743865967
413,41400.0,33.0,18.552463768115942,18.552463768115942,0.534998893737793
414,41500.0,36.0,19.782289156626508,19.782289156626508,0.5389974117279053
415,41600.0,37.0,19.629014423076924,19.629014423076924,0.5310032367706299
416,41700.0,37.0,19.104388489208635,19.104388489208635,0.6309986114501953
417,41800.0,36.0,19.62952153110048,19.62952153110048,0.562002420425415
418,41900.0,39.0,21.511169451073986,21.511169451073986,0.5829997062683105
419,42000.0,38.0,19.640357142857145,19.640357142857145,0.6269993782043457
420,42100.0,33.0,18.581710213776724,18.581710213776724,0.5299994945526123
421,42200.0,35.0,19.431350710900475,19.431350710900475,0.7099959850311279
422,42300.0,37.0,19.93432624113475,19.93432624113475,0.5989992618560791
423,42400.0,38.0,20.372783018867924,20.372783018867924,0.684999942779541
424,42500.0,37.0,19.742894117647058,19.742894117647058,0.6189999580383301
425,42600.0,42.0,19.645140845070422,19.645140845070422,0.5969994068145752
426,42700.0,37.0,19.31231850117096,19.31231850117096,0.5629978179931641
427,42800.0,37.0,18.956121495327103,18.956121495327103,0.6569998264312744
428,42900.0,38.0,18.785594405594406,18.785594405594406,0.5920002460479736
429,43000.0,37.0,19.93532558139535,19.93532558139535,0.6160027980804443
430,43100.0,34.0,19.180510440835267,19.180510440835267,0.7040050029754639
431,43200.0,33.0,18.597916666666666,18.597916666666666,0.6020002365112305
432,43300.0,38.0,19.525450346420325,19.525450346420325,0.6075088977813721
433,43400.0,36.0,19.702972350230414,19.702972350230414,0.6920037269592285
434,43500.0,41.0,19.554988505747126,19.554988505747126,0.6169986724853516
435,43600.0,36.0,18.651192660550457,18.651192660550457,0.6150002479553223
436,43700.0,37.0,19.71842105263158,19.71842105263158,0.7570030689239502
437,43800.0,37.0,19.59582191780822,19.59582191780822,0.6399986743927002
438,43900.0,36.0,19.701571753986332,19.701571753986332,0.7460010051727295
439,44000.0,36.0,19.141113636363638,19.141113636363638,0.652998685836792
440,44100.0,38.0,19.36004535147392,19.36004535147392,0.6690006256103516
441,44200.0,35.0,18.840361990950225,18.840361990950225,0.7320020198822021
442,44300.0,37.0,18.91097065462754,18.91097065462754,0.6029996871948242
443,44400.0,38.0,19.65792792792793,19.65792792792793,0.7079992294311523
444,44500.0,42.0,20.403168539325844,20.403168539325844,0.6690006256103516
445,44600.0,35.0,19.041076233183855,19.041076233183855,0.6519970893859863
446,44700.0,39.0,19.830939597315435,19.830939597315435,0.6949965953826904
447,44800.0,38.0,19.686450892857142,19.686450892857142,0.8309981822967529
448,44900.0,38.0,19.483541202672605,19.483541202672605,0.6529991626739502
449,45000.0,37.0,19.901644444444443,19.901644444444443,0.8010005950927734
450,45100.0,37.0,19.476740576496674,19.476740576496674,0.6949958801269531
451,45200.0,38.0,19.90809734513274,19.90809734513274,0.6799981594085693
452,45300.0,37.0,19.148189845474615,19.148189845474615,0.7460000514984131
453,45400.0,33.0,18.359140969162997,18.359140969162997,0.6469998359680176
454,45500.0,36.0,19.391582417582416,19.391582417582416,0.6239995956420898
455,45600.0,39.0,19.246337719298246,19.246337719298246,0.7640032768249512
456,45700.0,38.0,20.083566739606127,20.083566739606127,0.6689989566802979
457,45800.0,36.0,19.28222707423581,19.28222707423581,0.728999137878418
458,45900.0,39.0,19.293050108932462,19.293050108932462,0.6289987564086914
459,46000.0,37.0,18.55295652173913,18.55295652173913,0.6009981632232666
460,46100.0,38.0,18.768069414316702,18.768069414316702,0.695000171661377
461,46200.0,36.0,19.40108225108225,19.40108225108225,0.7509996891021729
462,46300.0,38.0,20.639848812095032,20.639848812095032,0.6930027008056641
463,46400.0,39.0,19.474676724137932,19.474676724137932,0.7210028171539307
464,46500.0,35.0,18.821612903225805,18.821612903225805,0.6319999694824219
465,46600.0,35.0,19.13216738197425,19.13216738197425,0.6359999179840088
466,46700.0,39.0,19.8176017130621,19.8176017130621,0.7250001430511475
467,46800.0,38.0,19.944273504273504,19.944273504273504,0.6419999599456787
468,46900.0,36.0,19.425799573560766,19.425799573560766,0.6190018653869629
469,47000.0,37.0,19.502702127659575,19.502702127659575,0.69700026512146
470,47100.0,39.0,20.366666666666667,20.366666666666667,0.6259987354278564
471,47200.0,34.0,19.210762711864408,19.210762711864408,0.7150001525878906
472,47300.0,40.0,19.136046511627907,19.136046511627907,0.6620011329650879
473,47400.0,37.0,19.138101265822783,19.138101265822783,0.7049999237060547
474,47500.0,39.0,19.963873684210526,19.963873684210526,0.6509952545166016
475,47600.0,38.0,20.40714285714286,20.40714285714286,0.7210001945495605
476,47700.0,39.0,20.14748427672956,20.14748427672956,0.6459996700286865
477,47800.0,37.0,19.642803347280335,19.642803347280335,0.7260003089904785
478,47900.0,37.0,20.490334029227558,20.490334029227558,0.6510000228881836
479,48000.0,35.0,19.311395833333332,19.311395833333332,0.72300124168396
480,48100.0,39.0,18.903430353430352,18.903430353430352,0.6190056800842285
481,48200.0,36.0,19.801286307053942,19.801286307053942,0.7450015544891357
482,48300.0,37.0,19.774989648033127,19.774989648033127,0.7459995746612549
483,48400.0,38.0,19.440619834710745,19.440619834710745,0.6550002098083496
484,48500.0,39.0,19.765835051546393,19.765835051546393,0.6449997425079346
485,48600.0,35.0,18.785987654320987,18.785987654320987,0.726999044418335
486,48700.0,39.0,19.541806981519507,19.541806981519507,0.6609997749328613
487,48800.0,38.0,19.862110655737705,19.862110655737705,0.7459995746612549
488,48900.0,36.0,18.807382413087936,18.807382413087936,0.7289948463439941
489,49000.0,39.0,20.26026530612245,20.26026530612245,0.6760048866271973
490,49100.0,37.0,19.779613034623218,19.779613034623218,0.6660001277923584
