,size,avg_insert,max_insert,avg_find,max_find,collision_rate,time
0,100.0,1.65,7.0,1.65,7.0,0.145,0.0010001659393310547
1,200.0,1.515,8.0,1.515,8.0,0.1425,0.0010001659393310547
2,300.0,1.75,14.0,1.75,14.0,0.14166666666666666,0.002507925033569336
3,400.0,1.6175,12.0,1.6175,12.0,0.165,0.0020003318786621094
4,500.0,1.538,7.0,1.538,7.0,0.151,0.0029997825622558594
5,600.0,1.5366666666666666,9.0,1.5366666666666666,9.0,0.14166666666666666,0.0030002593994140625
6,700.0,1.6471428571428572,21.0,1.6471428571428572,21.0,0.1492857142857143,0.0039997100830078125
7,800.0,1.64625,12.0,1.64625,12.0,0.160625,0.004999637603759766
8,900.0,1.8,16.0,1.8,16.0,0.16777777777777778,0.005003690719604492
9,1000.0,1.545,12.0,1.545,12.0,0.144,0.0055086612701416016
10,1100.0,1.549090909090909,9.0,1.549090909090909,9.0,0.13863636363636364,0.0070002079010009766
11,1200.0,1.6791666666666667,22.0,1.6791666666666667,22.0,0.14916666666666667,0.0069997310638427734
12,1300.0,1.5723076923076924,16.0,1.5723076923076924,16.0,0.14153846153846153,0.006999969482421875
13,1400.0,1.6657142857142857,12.0,1.6657142857142857,12.0,0.15321428571428572,0.009350299835205078
14,1500.0,1.5673333333333332,15.0,1.5673333333333332,15.0,0.14333333333333334,0.010004043579101562
15,1600.0,1.65625,18.0,1.65625,18.0,0.1484375,0.009999513626098633
16,1700.0,1.5370588235294118,13.0,1.5370588235294118,13.0,0.13794117647058823,0.01050877571105957
17,1800.0,1.943888888888889,20.0,1.943888888888889,20.0,0.175,0.01199960708618164
18,1900.0,1.58,19.0,1.58,19.0,0.13657894736842105,0.01200413703918457
19,2000.0,1.727,22.0,1.727,22.0,0.15575,0.013511180877685547
20,2100.0,1.6571428571428573,17.0,1.6571428571428573,17.0,0.14952380952380953,0.01350855827331543
21,2200.0,1.6381818181818182,20.0,1.6381818181818182,20.0,0.1459090909090909,0.014532089233398438
22,2300.0,1.605217391304348,18.0,1.605217391304348,18.0,0.1443478260869565,0.01450967788696289
23,2400.0,1.71625,18.0,1.71625,18.0,0.14729166666666665,0.015510320663452148
24,2500.0,1.6852,23.0,1.6852,23.0,0.1444,0.017017126083374023
25,2600.0,1.5957692307692308,23.0,1.5957692307692308,23.0,0.14211538461538462,0.01551055908203125
26,2700.0,1.7503703703703704,15.0,1.7503703703703704,15.0,0.16444444444444445,0.01650834083557129
27,2800.0,1.647857142857143,17.0,1.647857142857143,17.0,0.15107142857142858,0.017018795013427734
